file;line;old_target;suggested_ref_label;cross reference commend for markdown;notes
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/index.md;6;./Exploring_pdfs.ipynb;demo:exploring-pdfs;{ref}`demo:exploring-pdfs`;Maps to demo-exploring-PDFs
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/index.md;8;./visualization_of_CLT.ipynb;demo:visualization-of-the-central-limit-theorem;{ref}`demo:visualization-of-the-central-limit-theorem`;Maps to demo-visualization-of-the-central-limit-theorem
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/index.md;12;./chi_squared_tests.ipynb;demo:sum-of-normal-variables-squared;{ref}`demo:sum-of-normal-variables-squared`;manual
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/sec-followup-exploring-PDFs.md;4;./Exploring_pdfs.ipynb;demo:exploring-pdfs;{ref}`demo:exploring-pdfs`;
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/sec-gaussians-a-couple-of-frequentist-connections.md;7;../BayesianParameterEstimation/parameter_estimation_Gaussian_noise.ipynb;exercise:gaussian-noise-and-averages-ii;{ref}`exercise:gaussian-noise-and-averages-ii`;Use your renamed exercise
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/sec-gaussians-a-couple-of-frequentist-connections.md;122;./visualization_of_CLT.ipynb;demo:visualization-of-the-central-limit-theorem;{ref}`demo:visualization-of-the-central-limit-theorem`;
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/sec-gaussians-a-couple-of-frequentist-connections.md;275;./visualization_of_CLT.ipynb;demo:visualization-of-the-central-limit-theorem;{ref}`demo:visualization-of-the-central-limit-theorem`;
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/sec-gaussians-a-couple-of-frequentist-connections.md;314;./Bayesian_updating_coinflip_interactive.ipynb;demo:bayesian-coin-tossing-interactive;{ref}`demo:bayesian-coin-tossing-interactive`;
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/sec-gaussians-a-couple-of-frequentist-connections.md;327;./Bayesian_updating_coinflip_interactive.ipynb;demo:bayesian-coin-tossing-interactive;{ref}`demo:bayesian-coin-tossing-interactive`;
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/sec-interpreting-2D-posteriors.md;14;./parameter_estimation_fitting_straight_line_I.ipynb;exercise:fitting-a-straight-line-i;{ref}`exercise:fitting-a-straight-line-i`;
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/sec-interpreting-2D-posteriors.md;254;./parameter_estimation_Gaussian_noise.ipynb;exercise:gaussian-noise-and-averages-ii;{ref}`exercise:gaussian-noise-and-averages-ii`;
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/sec-interpreting-2D-posteriors.md;269;./radioactive_lighthouse_exercise.ipynb;exercise:radioactive-lighthouse-problem;{ref}`exercise:radioactive-lighthouse-problem`;
content/Bayesian-methods-for-scientific-modeling/bayesian-posteriors/sec-interpreting-2D-posteriors.md;270;./parameter_estimation_Gaussian_noise.ipynb;exercise:gaussian-noise-and-averages-ii;{ref}`exercise:gaussian-noise-and-averages-ii`;
content/Bayesian-methods-for-scientific-modeling/exercises-bayesian-methods-for-scientific-modeling/exercise-fitting-a-straight-line-ii.ipynb;70005;./Parameter_estimation/parameter_estimation_fitting_straight_line_I.ipynb;exercise:fitting-a-straight-line-i;{ref}`exercise:fitting-a-straight-line-i`;
content/Bayesian-methods-for-scientific-modeling/exercises-bayesian-methods-for-scientific-modeling/exercise-fitting-a-straight-line-ii.ipynb;80004;./Parameter_estimation/parameter_estimation_fitting_straight_line_I.ipynb;exercise:fitting-a-straight-line-i;{ref}`exercise:fitting-a-straight-line-i`;
content/Bayesian-methods-for-scientific-modeling/inference-and-pdfs/sec-data-models-predictions.md;57;../../OtherTopics/MD_balldrop_v1.ipynb;demo:ball-drop-experiment;{ref}`demo:ball-drop-experiment`;
content/Bayesian-methods-for-scientific-modeling/inference-and-pdfs/sec-data-models-predictions.md;123;sec:MCMC;sec:RootMCMC;{ref}`sec:RootMCMC`;Replace with a real label you add
content/Bayesian-methods-for-scientific-modeling/inference-and-pdfs/sec-probability-density-functions.md;165;../Exploring_pdfs.ipynb;demo:exploring-pdfs;{ref}`demo:exploring-pdfs`;
content/Bayesian-methods-for-scientific-modeling/updating-via-bayes-rule/sec-coin-tossing-frequentists-and-bayesians.md;42;../demo-BayesianBasics;demo:bayesian-coin-tossing;{ref}`demo:bayesian-coin-tossing`;Or link to demo:bayesian-coin-tossing
content/Bayesian-methods-for-scientific-modeling/updating-via-bayes-rule/sec-coin-tossing-frequentists-and-bayesians.md;42;../Bayesian_updating_coinflip_interactive.ipynb;demo:bayesian-coin-tossing-interactive;{ref}`demo:bayesian-coin-tossing-interactive`;
content/MCMC-sampling/advanced-sampling/sec-overview-intro-to-pymc.md;3;./BUQ2/PyMC_intro_updated.ipynb;demo:pymc-introduction;{ref}`demo:pymc-introduction`;
content/MCMC-sampling/advanced-sampling/sec-overview-intro-to-pymc.md;20;/notebooks/MCMC_sampling_II/PyMC_docs_getting_started_updated.ipynb;demo:pymc-introduction;{ref}`demo:pymc-introduction`;Replace with an external URL if appropriate
content/MCMC-sampling/advanced-sampling/sec-the-zeus-ensemble-slice-sampler.md;46;./BUQ2/parameter_estimation_Gaussian_noise_compare_samplers.ipynb;demo:comparing-samplers-for-a-simple-problem;{ref}`demo:comparing-samplers-for-a-simple-problem`;
content/MCMC-sampling/advanced-sampling/sec-the-zeus-ensemble-slice-sampler.md;49;../Mini-projects/zeus_multimodal.ipynb;project:zeus-multimodal;{ref}`project:zeus-multimodal`;
content/MCMC-sampling/advanced-sampling/sec-the-zeus-ensemble-slice-sampler.md;50;../Mini-projects/MCMC-parallel-tempering_ptemcee_vs_zeus.ipynb;sec:mcmc-parallel-tempering-ptemcee-vs-zeus;{ref}`sec:mcmc-parallel-tempering-ptemcee-vs-zeus`;
content/MCMC-sampling/intuition-for-mcmc/index.md;9;./demo-MCMC-improved.ipynb;demo:random-walk-and-sampling;{ref}`demo:random-walk-and-sampling`;Closest existing demo
